municipio,municipioLabel,codigoINE
http://www.wikidata.org/entity/Q618588,Adsubia,03001
http://www.wikidata.org/entity/Q1228383,Agost,03002
http://www.wikidata.org/entity/Q1753479,Agres,03003
http://www.wikidata.org/entity/Q618657,Aguas de Busot,03004
http://www.wikidata.org/entity/Q618585,Albatera,03005
http://www.wikidata.org/entity/Q619496,Alcalalí,03006
http://www.wikidata.org/entity/Q619130,Alcocer de Planes,03007
http://www.wikidata.org/entity/Q619123,Alcolecha,03008
http://www.wikidata.org/entity/Q494777,Alcoy,03009
http://www.wikidata.org/entity/Q619122,Alfafara,03010
http://www.wikidata.org/entity/Q619126,Alfaz del Pi,03011
http://www.wikidata.org/entity/Q954749,Algorfa,03012
http://www.wikidata.org/entity/Q620867,Algueña,03013
http://www.wikidata.org/entity/Q11959,Alicante,03014
http://www.wikidata.org/entity/Q620600,Almoradí,03015
http://www.wikidata.org/entity/Q1770937,Almudaina,03016
http://www.wikidata.org/entity/Q621092,Alquería de Aznar,03017
http://www.wikidata.org/entity/Q436491,Altea,03018
http://www.wikidata.org/entity/Q1770153,Aspe,03019
http://www.wikidata.org/entity/Q1770144,Balones,03020
http://www.wikidata.org/entity/Q621626,Banyeres de Mariola,03021
http://www.wikidata.org/entity/Q1770136,Benasau,03022
http://www.wikidata.org/entity/Q621622,Benejama,03023
http://www.wikidata.org/entity/Q1752438,Benejúzar,03024
http://www.wikidata.org/entity/Q1751451,Benferri,03025
http://www.wikidata.org/entity/Q1649859,Beniarbeig,03026
http://www.wikidata.org/entity/Q1770182,Beniardá,03027
http://www.wikidata.org/entity/Q621839,Beniarrés,03028
http://www.wikidata.org/entity/Q1763714,Benichembla,03029
http://www.wikidata.org/entity/Q1753061,Benidoleig,03030
http://www.wikidata.org/entity/Q487981,Benidorm,03031
http://www.wikidata.org/entity/Q930303,Benifallim,03032
http://www.wikidata.org/entity/Q370955,Benifato,03033
http://www.wikidata.org/entity/Q1650580,Benijófar,03034
http://www.wikidata.org/entity/Q1770091,Benilloba,03035
http://www.wikidata.org/entity/Q1771932,Benillup,03036
http://www.wikidata.org/entity/Q1752443,Benimantell,03037
http://www.wikidata.org/entity/Q1770942,Benimarfull,03038
http://www.wikidata.org/entity/Q1770191,Benimasot,03039
http://www.wikidata.org/entity/Q1637136,Benimeli,03040
http://www.wikidata.org/entity/Q1649406,Benisa,03041
http://www.wikidata.org/entity/Q817349,Benitachell,03042
http://www.wikidata.org/entity/Q1763754,Bigastro,03044
http://www.wikidata.org/entity/Q891663,Bolulla,03045
http://www.wikidata.org/entity/Q1749271,Busot,03046
http://www.wikidata.org/entity/Q671272,Calpe,03047
http://www.wikidata.org/entity/Q1770160,Callosa de Ensarriá,03048
http://www.wikidata.org/entity/Q1750915,Callosa de Segura,03049
http://www.wikidata.org/entity/Q842224,Campello,03050
http://www.wikidata.org/entity/Q1553410,Campo de Mirra,03051
http://www.wikidata.org/entity/Q1553440,Cañada,03052
http://www.wikidata.org/entity/Q1646122,Castalla,03053
http://www.wikidata.org/entity/Q1753070,Castell de Castells,03054
http://www.wikidata.org/entity/Q1752447,Catral,03055
http://www.wikidata.org/entity/Q1231003,Cocentaina,03056
http://www.wikidata.org/entity/Q1768778,Confrides,03057
http://www.wikidata.org/entity/Q1640230,Cox,03058
http://www.wikidata.org/entity/Q1616611,Crevillente,03059
http://www.wikidata.org/entity/Q1768829,Cuatretondeta,03060
http://www.wikidata.org/entity/Q1752092,Daya Nueva,03061
http://www.wikidata.org/entity/Q1768811,Daya Vieja,03062
http://www.wikidata.org/entity/Q646725,Denia,03063
http://www.wikidata.org/entity/Q782158,Dolores,03064
http://www.wikidata.org/entity/Q10509,Elche,03065
http://www.wikidata.org/entity/Q608985,Elda,03066
http://www.wikidata.org/entity/Q426123,Facheca,03067
