ID_ACCIDENTE,KM,TOTAL_HG24H,TOTAL_HL24H,TOTAL_MU24H
2826,,0,1,0
2827,,0,2,0
2828,,0,1,0
2829,,0,1,0
2830,,0,2,0
2831,,0,2,0
2832,,0,1,0
2833,,0,2,0
2834,,0,2,0
2835,,0,1,0
2836,,0,1,0
2837,,0,1,0
2838,,0,1,0
2839,1.0,0,3,0
2840,,1,0,0
2841,,0,1,0
2842,,0,1,0
2843,,1,0,0
2844,,0,1,0
2845,,0,1,0
2846,,0,1,0
2847,,0,2,0
2848,,0,1,0
2849,,0,2,0
2850,0.1,1,0,0
2851,1.25,0,1,0
2852,,0,3,0
2853,6.5,0,1,0
2854,,0,1,0
2855,,0,1,0
2856,,0,1,0
2857,,0,1,0
2858,,0,1,0
2859,,0,1,0
2860,,0,1,0
2861,,0,2,0
2862,,0,2,0
2863,,0,2,0
2864,,0,1,0
2865,,0,1,0
2866,,0,1,0
2867,,0,1,0
2868,,0,1,0
2869,4.9,0,1,0
2870,28.7,0,1,0
2871,,0,1,0
2872,,0,1,0
2873,,0,1,0
2874,,0,1,0
2875,,0,1,0
2876,,0,1,0
2877,,0,2,0
2878,,0,1,0
2879,,0,1,0
2880,,0,1,0
2881,,0,1,0
2882,,0,1,0
2883,,0,1,0
2884,,0,1,0
2885,,0,1,0
2886,,0,1,0
2887,,0,1,0
2888,,0,1,0
2889,,0,2,0
2890,,0,1,0
2891,,0,2,0
2892,,0,3,0
2893,,0,1,0
2894,,0,1,0
2895,,0,1,0
2896,,0,1,0
2897,,0,1,0
2898,,0,1,0
2899,,0,1,0
2900,,0,1,0
2901,,0,1,0
2902,,0,3,0
2903,,0,1,0
2904,,0,1,0
2905,,0,1,0
2906,,0,1,0
2907,,0,1,0
2908,,0,1,0
2909,,0,2,0
2910,,0,1,0
2911,,0,1,0
2912,,0,4,0
